TIME_TO_CARRY,TIME_TO_DELIVER_ORDER,COMPARE_ESTIMATED_TO_DELIVERED_TIME,ESTIMATED_TIME_TO_DELIVERY,ORDER_PURCHASE_YEAR,ORDER_PURCHASE_MONTH,ORDER_PURCHASE_DAY,ORDER_PURCHASE_WEEKDAY
2,21,2,23,2017,11,27,Monday
0,17,19,36,2017,5,17,Wednseday
2,19,9,28,2018,1,10,Wednseday
2,6,21,27,2018,6,19,Tuesday
6,9,13,22,2017,9,27,Wednseday
1,2,8,10,2018,3,5,Monday
6,14,22,36,2017,12,5,Tuesday
1,30,0,30,2017,12,19,Tuesday
3,41,-6,35,2017,11,24,Friday
1,21,5,26,2018,2,8,Thursday
3,6,17,23,2017,5,30,Tuesday
6,13,41,54,2017,1,18,Wednseday
3,4,5,9,2018,8,4,Saturday
5,19,15,34,2017,8,30,Wednseday
5,25,13,38,2018,1,12,Friday
1,4,14,18,2018,4,26,Thursday
3,11,36,47,2018,8,17,Friday
6,18,-1,17,2018,3,19,Monday
5,57,-29,28,2017,11,30,Thursday
1,8,28,36,2018,4,9,Monday
1,5,21,26,2017,2,19,Sunday
1,34,2,36,2018,5,2,Wednseday
2,21,21,42,2017,9,25,Monday
1,15,21,36,2017,5,28,Sunday
1,9,13,22,2018,2,25,Sunday
0,11,14,25,2017,5,26,Friday
2,8,3,11,2018,8,20,Monday
6,20,-8,12,2017,11,22,Wednseday
1,9,15,24,2018,2,5,Monday
1,15,5,20,2018,5,17,Thursday
3,8,14,22,2018,7,30,Monday
2,13,13,26,2017,11,4,Saturday
1,10,11,21,2017,12,19,Tuesday
2,12,7,19,2017,10,25,Wednseday
3,5,25,30,2018,6,30,Saturday
3,12,33,45,2018,1,5,Friday
0,10,12,22,2018,4,2,Monday
5,14,5,19,2017,3,24,Friday
5,15,25,40,2017,11,3,Friday
2,30,-7,23,2018,1,24,Wednseday
1,12,13,25,2017,11,6,Monday
2,7,8,15,2018,8,14,Tuesday
2,18,-1,17,2018,4,3,Tuesday
5,11,14,25,2018,6,28,Thursday
2,8,36,44,2017,11,6,Monday
1,16,12,28,2018,1,9,Tuesday
2,8,26,34,2018,4,18,Wednseday
0,10,14,24,2017,7,4,Tuesday
5,9,18,27,2017,10,11,Wednseday
0,4,24,28,2018,5,14,Monday
3,11,13,24,2017,9,30,Saturday
4,11,16,27,2017,4,29,Saturday
3,18,8,26,2017,12,17,Sunday
2,3,9,12,2018,3,25,Sunday
4,18,23,41,2018,5,3,Thursday
1,12,14,26,2018,4,11,Wednseday
1,15,28,43,2017,11,23,Thursday
6,12,31,43,2018,8,8,Wednseday
0,11,15,26,2017,7,20,Thursday
1,3,27,30,2018,8,7,Tuesday
7,12,14,26,2017,10,11,Wednseday
2,15,34,49,2017,2,1,Wednseday
1,7,13,20,2017,7,27,Thursday
2,11,12,23,2017,8,13,Sunday
6,14,6,20,2018,3,21,Wednseday
4,44,-12,32,2017,12,4,Monday
2,16,26,42,2017,4,18,Tuesday
3,9,17,26,2018,4,21,Saturday
13,14,7,21,2018,4,19,Thursday
4,6,11,17,2017,9,23,Saturday
4,8,20,28,2018,1,22,Monday
3,15,10,25,2017,7,30,Sunday
1,11,13,24,2017,9,11,Monday
4,7,10,17,2018,7,16,Monday
3,4,11,15,2018,1,22,Monday
3,4,12,16,2018,8,4,Saturday
3,7,3,10,2018,4,17,Tuesday
4,11,15,26,2018,4,7,Saturday
7,11,7,18,2018,1,4,Thursday
1,13,13,26,2018,1,28,Sunday
3,18,7,25,2017,4,21,Friday
3,9,19,28,2018,1,8,Monday
3,4,8,12,2017,9,15,Friday
5,9,18,27,2017,5,31,Wednseday
2,16,4,20,2018,2,20,Tuesday
2,7,17,24,2017,7,18,Tuesday
2,6,19,25,2017,3,18,Saturday
2,16,18,34,2017,2,28,Tuesday
6,7,19,26,2018,5,30,Wednseday
4,19,6,25,2017,11,9,Thursday
2,11,13,24,2017,10,14,Saturday
2,4,11,15,2018,8,12,Sunday
5,41,-7,34,2018,3,7,Wednseday
4,15,8,23,2017,10,30,Monday
13,19,15,34,2017,5,25,Thursday
9,16,14,30,2017,7,11,Tuesday
2,4,8,12,2017,7,30,Sunday
3,5,23,28,2017,5,26,Friday
0,3,15,18,2017,12,18,Monday
2,10,9,19,2017,11,19,Sunday
2,16,16,32,2017,12,25,Monday
3,9,19,28,2018,1,8,Monday
4,33,0,33,2018,1,6,Saturday
1,2,11,13,2017,6,28,Wednseday
7,17,19,36,2018,6,5,Tuesday
1,6,6,12,2018,8,22,Wednseday
1,2,4,6,2018,8,14,Tuesday
3,6,18,24,2017,7,21,Friday
2,7,15,22,2017,8,29,Tuesday
9,12,13,25,2017,2,13,Monday
1,2,9,11,2018,7,22,Sunday
6,9,7,16,2018,1,2,Tuesday
2,5,8,13,2017,8,9,Wednseday
3,27,-4,23,2018,5,12,Saturday
3,6,18,24,2018,5,11,Friday
1,5,15,20,2018,7,25,Wednseday
1,4,22,26,2017,8,24,Thursday
0,3,20,23,2018,7,31,Tuesday
0,7,23,30,2017,4,4,Tuesday
5,7,19,26,2017,12,29,Friday
6,7,7,14,2018,7,4,Wednseday
0,8,12,20,2018,5,9,Wednseday
2,11,12,23,2017,8,6,Sunday
1,5,25,30,2018,4,23,Monday
2,23,7,30,2018,2,7,Wednseday
1,10,12,22,2017,8,1,Tuesday
7,15,6,21,2018,1,31,Wednseday
1,9,20,29,2018,1,9,Tuesday
4,10,17,27,2018,6,22,Friday
1,25,-2,23,2017,11,27,Monday
4,37,-6,31,2017,11,20,Monday
3,13,13,26,2017,12,10,Sunday
2,12,21,33,2018,3,3,Saturday
2,15,8,23,2018,2,18,Sunday
3,8,22,30,2018,4,3,Tuesday
1,10,13,23,2017,12,4,Monday
2,9,15,24,2017,11,26,Sunday
13,22,11,33,2018,4,12,Thursday
1,8,27,35,2017,7,25,Tuesday
0,8,20,28,2018,6,14,Thursday
3,9,10,19,2017,10,22,Sunday
0,11,5,16,2017,11,22,Wednseday
2,7,14,21,2018,4,17,Tuesday
3,4,15,19,2018,8,24,Friday
5,10,18,28,2017,12,29,Friday
2,6,2,8,2018,8,22,Wednseday
4,18,3,21,2018,2,22,Thursday
1,7,18,25,2017,2,6,Monday
1,7,23,30,2017,6,5,Monday
2,5,8,13,2017,8,9,Wednseday
2,3,10,13,2017,8,5,Saturday
1,2,11,13,2018,5,3,Thursday
3,7,13,20,2017,6,23,Friday
6,12,10,22,2018,8,9,Thursday
2,8,16,24,2018,6,5,Tuesday
15,24,6,30,2017,9,25,Monday
1,15,8,23,2017,4,24,Monday
1,2,11,13,2017,5,17,Wednseday
2,6,13,19,2018,8,18,Saturday
2,44,-10,34,2018,4,18,Wednseday
0,6,33,39,2018,4,27,Friday
1,7,16,23,2017,5,30,Tuesday
5,11,10,21,2017,6,15,Thursday
1,3,15,18,2017,9,10,Sunday
2,9,7,16,2017,5,9,Tuesday
1,6,15,21,2018,5,16,Wednseday
1,12,22,34,2017,12,21,Thursday
2,15,17,32,2017,10,29,Sunday
8,25,13,38,2018,5,28,Monday
4,5,11,16,2018,8,5,Sunday
1,6,25,31,2018,8,21,Tuesday
3,14,22,36,2017,6,26,Monday
1,9,18,27,2018,3,27,Tuesday
3,8,36,44,2018,7,29,Sunday
4,28,2,30,2017,12,25,Monday
1,7,13,20,2018,5,10,Thursday
1,25,2,27,2017,11,16,Thursday
1,5,16,21,2017,6,7,Wednseday
1,5,14,19,2017,8,31,Thursday
1,9,5,14,2017,11,13,Monday
5,14,13,27,2017,9,1,Friday
3,12,8,20,2017,11,29,Wednseday
8,21,-11,10,2018,7,16,Monday
3,20,7,27,2018,2,13,Tuesday
3,27,11,38,2018,2,3,Saturday
3,10,15,25,2017,4,9,Sunday
2,23,12,35,2018,2,5,Monday
2,4,19,23,2017,10,2,Monday
1,7,10,17,2018,7,31,Tuesday
3,45,-22,23,2018,3,11,Sunday
1,12,26,38,2018,4,8,Sunday
3,11,24,35,2017,11,14,Tuesday
1,7,14,21,2017,8,21,Monday
2,7,7,14,2018,7,31,Tuesday
5,15,7,22,2018,2,1,Thursday
1,7,13,20,2017,5,17,Wednseday
3,3,13,16,2018,4,3,Tuesday
7,18,2,20,2017,9,15,Friday
1,19,3,22,2017,11,30,Thursday
1,6,23,29,2018,3,7,Wednseday
2,3,9,12,2018,3,25,Sunday
1,2,12,14,2018,2,19,Monday
2,5,22,27,2018,1,6,Saturday
0,12,20,32,2018,3,5,Monday
8,15,2,17,2018,3,19,Monday
17,24,15,39,2018,5,12,Saturday
3,6,17,23,2017,4,22,Saturday
0,4,14,18,2018,8,3,Friday
2,3,9,12,2018,6,16,Saturday
2,17,6,23,2017,2,6,Monday
6,7,11,18,2017,9,29,Friday
1,23,7,30,2017,12,11,Monday
2,6,17,23,2018,4,11,Wednseday
1,13,14,27,2018,3,15,Thursday
4,28,-2,26,2017,11,24,Friday
1,4,13,17,2018,7,30,Monday
7,14,20,34,2017,6,27,Tuesday
7,11,3,14,2017,11,14,Tuesday
9,9,41,50,2017,6,25,Sunday
4,9,15,24,2017,7,1,Saturday
1,9,17,26,2018,1,14,Sunday
1,2,2,4,2018,8,5,Sunday
2,33,-10,23,2018,3,10,Saturday
2,3,7,10,2018,4,9,Monday
1,2,14,16,2018,6,12,Tuesday
1,8,18,26,2018,3,11,Sunday
10,12,43,55,2016,10,5,Wednseday
1,2,10,12,2017,10,29,Sunday
1,4,21,25,2018,1,7,Sunday
3,18,17,35,2018,3,16,Friday
2,6,4,10,2018,8,12,Sunday
0,1,12,13,2018,5,3,Thursday
2,7,21,28,2018,8,15,Wednseday
0,22,5,27,2017,12,22,Friday
29,33,1,34,2018,4,5,Thursday
6,14,8,22,2018,2,28,Wednseday
3,9,32,41,2018,6,5,Tuesday
1,19,11,30,2018,4,16,Monday
7,19,13,32,2017,5,18,Thursday
1,12,11,23,2017,11,15,Wednseday
4,14,27,41,2018,6,1,Friday
3,6,12,18,2018,7,27,Friday
1,11,12,23,2018,4,1,Sunday
9,66,-43,23,2018,1,22,Monday
2,3,3,6,2018,8,11,Saturday
6,13,28,41,2018,8,15,Wednseday
6,10,13,23,2018,6,12,Tuesday
3,12,13,25,2017,12,2,Saturday
2,8,6,14,2018,5,14,Monday
1,3,24,27,2017,12,6,Wednseday
1,9,14,23,2018,2,14,Wednseday
3,6,15,21,2017,8,18,Friday
1,8,15,23,2018,6,11,Monday
3,7,14,21,2018,5,4,Friday
3,13,14,27,2017,11,24,Friday
2,23,-2,21,2018,3,19,Monday
1,21,20,41,2017,2,1,Wednseday
0,6,14,20,2017,6,28,Wednseday
4,23,5,28,2017,12,14,Thursday
0,3,20,23,2017,8,1,Tuesday
1,3,9,12,2018,6,17,Sunday
0,6,14,20,2017,7,20,Thursday
1,4,25,29,2018,5,10,Thursday
2,37,-6,31,2017,10,29,Sunday
1,11,18,29,2018,1,11,Thursday
9,14,19,33,2018,3,7,Wednseday
0,1,10,11,2018,6,18,Monday
1,8,14,22,2017,9,19,Tuesday
2,10,11,21,2017,9,11,Monday
5,13,30,43,2018,6,7,Thursday
7,24,-2,22,2017,11,9,Thursday
3,10,18,28,2018,1,19,Friday
2,7,20,27,2018,7,3,Tuesday
2,10,20,30,2018,6,16,Saturday
11,13,8,21,2017,5,4,Thursday
1,14,23,37,2017,8,16,Wednseday
3,22,4,26,2017,11,24,Friday
4,9,20,29,2018,4,29,Sunday
0,5,26,31,2017,9,22,Friday
1,9,18,27,2017,10,12,Thursday
1,14,10,24,2017,6,27,Tuesday
4,7,20,27,2018,2,3,Saturday
2,9,10,19,2018,8,15,Wednseday
2,9,17,26,2018,2,25,Sunday
3,13,11,24,2017,7,15,Saturday
1,7,19,26,2018,1,24,Wednseday
3,20,4,24,2018,3,31,Saturday
6,22,10,32,2018,2,8,Thursday
6,9,21,30,2017,11,1,Wednseday
4,13,7,20,2017,10,12,Thursday
6,22,14,36,2018,3,13,Tuesday
3,17,14,31,2018,6,4,Monday
2,4,23,27,2018,4,28,Saturday
0,20,24,44,2017,12,19,Tuesday
1,11,13,24,2017,11,20,Monday
0,6,21,27,2018,5,16,Wednseday
1,6,16,22,2017,9,21,Thursday
2,14,24,38,2017,6,12,Monday
3,14,7,21,2017,11,13,Monday
15,71,-50,21,2018,5,2,Wednseday
5,15,5,20,2017,11,9,Thursday
2,22,6,28,2018,4,30,Monday
2,6,20,26,2017,7,1,Saturday
16,30,-18,12,2017,6,18,Sunday
1,23,1,24,2018,1,16,Tuesday
10,10,4,14,2017,6,2,Friday
2,13,12,25,2017,11,4,Saturday
1,4,19,23,2018,6,18,Monday
3,13,21,34,2018,2,28,Wednseday
5,6,10,16,2017,7,15,Saturday
1,9,23,32,2017,2,13,Monday
1,6,21,27,2017,5,23,Tuesday
1,17,14,31,2017,8,6,Sunday
8,21,5,26,2018,2,8,Thursday
2,12,18,30,2017,12,24,Sunday
2,11,20,31,2017,5,14,Sunday
1,13,6,19,2018,3,21,Wednseday
1,19,14,33,2017,8,23,Wednseday
1,7,34,41,2017,2,8,Wednseday
1,5,10,15,2018,7,15,Sunday
4,7,13,20,2018,6,29,Friday
7,22,4,26,2018,5,16,Wednseday
6,14,27,41,2018,6,6,Wednseday
2,15,7,22,2017,9,26,Tuesday
1,7,15,22,2017,6,5,Monday
1,7,16,23,2018,5,15,Tuesday
8,27,2,29,2017,12,13,Wednseday
1,9,5,14,2017,11,23,Thursday
7,8,18,26,2018,5,31,Thursday
5,18,18,36,2017,11,30,Thursday
2,24,-1,23,2018,2,24,Saturday
4,17,3,20,2018,3,16,Friday
3,17,23,40,2018,6,2,Saturday
7,25,22,47,2017,6,9,Friday
2,8,7,15,2018,8,5,Sunday
2,17,6,23,2018,6,11,Monday
2,3,8,11,2018,3,26,Monday
1,6,7,13,2018,8,15,Wednseday
1,4,10,14,2018,2,20,Tuesday
5,13,14,27,2018,1,18,Thursday
2,8,14,22,2017,8,1,Tuesday
1,11,11,22,2018,5,7,Monday
2,34,-11,23,2018,3,6,Tuesday
2,8,22,30,2018,1,21,Sunday
1,33,3,36,2017,4,6,Thursday
3,24,7,31,2018,5,4,Friday
3,9,14,23,2017,6,13,Tuesday
1,3,12,15,2017,6,26,Monday
1,11,14,25,2018,4,8,Sunday
4,21,24,45,2017,2,10,Friday
1,5,15,20,2017,11,30,Thursday
0,5,20,25,2017,12,18,Monday
6,35,-9,26,2017,4,28,Friday
1,3,13,16,2018,7,24,Tuesday
4,11,-4,7,2018,8,9,Thursday
1,6,14,20,2018,6,14,Thursday
7,12,14,26,2017,6,2,Friday
8,14,3,17,2018,7,30,Monday
2,3,9,12,2017,8,13,Sunday
3,9,24,33,2017,6,10,Saturday
0,11,11,22,2017,6,19,Monday
18,24,14,38,2017,4,21,Friday
4,13,26,39,2018,4,19,Thursday
6,9,9,18,2017,10,7,Saturday
1,8,46,54,2018,6,3,Sunday
1,6,18,24,2018,7,3,Tuesday
1,2,15,17,2018,4,23,Monday
3,4,10,14,2017,11,24,Friday
3,10,31,41,2017,1,14,Saturday
1,6,36,42,2017,7,20,Thursday
0,7,21,28,2018,4,20,Friday
2,4,12,16,2018,5,19,Saturday
6,11,2,13,2018,3,29,Thursday
2,16,8,24,2017,12,4,Monday
1,5,9,14,2018,7,18,Wednseday
3,8,14,22,2017,10,2,Monday
11,67,-40,27,2017,11,17,Friday
2,36,-13,23,2018,4,2,Monday
1,14,9,23,2018,7,31,Tuesday
1,9,42,51,2018,6,3,Sunday
1,6,15,21,2018,4,24,Tuesday
2,14,10,24,2017,4,8,Saturday
3,4,14,18,2017,11,25,Saturday
5,6,2,8,2018,5,17,Thursday
2,9,13,22,2017,7,18,Tuesday
2,20,12,32,2017,8,5,Saturday
4,8,17,25,2018,7,5,Thursday
1,27,-7,20,2018,3,28,Wednseday
5,8,12,20,2018,2,15,Thursday
2,11,25,36,2018,2,4,Sunday
5,20,1,21,2017,11,15,Wednseday
22,36,-9,27,2017,4,19,Wednseday
2,10,15,25,2017,5,13,Saturday
7,8,0,8,2018,8,2,Thursday
7,12,15,27,2017,6,7,Wednseday
4,9,21,30,2017,12,30,Saturday
1,7,6,13,2018,8,2,Thursday
2,13,10,23,2018,3,13,Tuesday
1,11,28,39,2017,1,26,Thursday
1,13,17,30,2017,6,6,Tuesday
3,22,1,23,2017,11,14,Tuesday
2,10,15,25,2018,2,4,Sunday
6,15,20,35,2017,12,7,Thursday
1,13,13,26,2018,8,16,Thursday
2,3,5,8,2018,7,24,Tuesday
1,2,13,15,2018,2,18,Sunday
2,33,-14,19,2018,2,28,Wednseday
3,16,27,43,2017,2,7,Tuesday
2,25,2,27,2018,1,27,Saturday
3,21,4,25,2018,5,11,Friday
1,2,8,10,2018,7,9,Monday
6,18,18,36,2017,12,12,Tuesday
1,6,23,29,2018,4,26,Thursday
5,20,3,23,2017,11,29,Wednseday
8,78,-57,21,2018,2,22,Thursday
3,10,3,13,2018,8,10,Friday
1,22,8,30,2018,1,15,Monday
22,43,-11,32,2017,11,24,Friday
4,5,7,12,2017,11,19,Sunday
40,46,8,54,2018,6,28,Thursday
1,2,8,10,2018,6,19,Tuesday
25,30,33,63,2016,10,5,Wednseday
3,5,6,11,2018,5,12,Saturday
5,6,6,12,2018,4,12,Thursday
0,8,27,35,2018,6,19,Tuesday
1,6,14,20,2017,7,26,Wednseday
1,7,22,29,2018,1,22,Monday
2,11,22,33,2018,5,27,Sunday
3,10,16,26,2018,6,23,Saturday
0,4,18,22,2018,6,21,Thursday
2,3,14,17,2017,9,24,Sunday
1,2,16,18,2018,7,1,Sunday
1,1,11,12,2018,4,6,Friday
1,8,18,26,2017,7,27,Thursday
1,5,21,26,2018,1,7,Sunday
16,34,10,44,2018,1,16,Tuesday
6,23,-3,20,2018,2,20,Tuesday
2,4,7,11,2018,8,4,Saturday
2,9,20,29,2018,4,11,Wednseday
7,8,2,10,2018,7,20,Friday
1,6,14,20,2017,5,9,Tuesday
2,12,21,33,2017,6,14,Wednseday
1,7,15,22,2017,10,3,Tuesday
2,9,17,26,2017,11,12,Sunday
2,4,10,14,2018,2,22,Thursday
4,29,1,30,2018,2,26,Monday
1,13,20,33,2017,11,8,Wednseday
3,6,10,16,2017,11,26,Sunday
13,22,0,22,2018,2,27,Tuesday
1,12,15,27,2017,8,31,Thursday
5,9,6,15,2018,4,25,Wednseday
1,13,8,21,2017,4,4,Tuesday
7,27,5,32,2018,1,19,Friday
5,10,11,21,2018,5,4,Friday
3,12,18,30,2017,11,11,Saturday
2,9,15,24,2018,2,17,Saturday
0,6,13,19,2018,5,9,Wednseday
1,10,15,25,2017,10,30,Monday
5,20,2,22,2018,3,14,Wednseday
2,3,9,12,2018,3,31,Saturday
3,8,18,26,2017,12,2,Saturday
1,6,14,20,2018,6,14,Thursday
4,12,13,25,2017,11,9,Thursday
0,1,5,6,2018,8,7,Tuesday
6,8,5,13,2017,6,20,Tuesday
5,6,7,13,2018,3,28,Wednseday
2,34,-6,28,2018,3,6,Tuesday
7,15,7,22,2017,9,5,Tuesday
8,9,8,17,2018,1,7,Sunday
1,8,10,18,2018,7,23,Monday
1,12,20,32,2017,2,23,Thursday
3,17,7,24,2018,3,19,Monday
4,6,19,25,2017,8,26,Saturday
3,7,11,18,2017,9,29,Friday
7,8,5,13,2017,7,19,Wednseday
5,14,18,32,2018,2,22,Thursday
2,11,13,24,2018,4,15,Sunday
1,20,4,24,2018,1,16,Tuesday
2,15,14,29,2017,12,5,Tuesday
5,7,7,14,2018,8,17,Friday
2,9,22,31,2017,12,26,Tuesday
5,12,19,31,2017,9,29,Friday
7,12,17,29,2018,4,25,Wednseday
2,11,12,23,2018,3,25,Sunday
3,4,8,12,2017,8,25,Friday
1,4,4,8,2018,8,6,Monday
2,4,5,9,2018,5,21,Monday
1,2,19,21,2017,11,23,Thursday
0,8,20,28,2018,4,18,Wednseday
2,6,11,17,2018,4,17,Tuesday
2,13,14,27,2017,3,14,Tuesday
5,16,45,61,2017,1,18,Wednseday
4,6,1,7,2018,8,2,Thursday
1,14,10,24,2018,4,3,Tuesday
2,9,11,20,2017,6,20,Tuesday
2,3,6,9,2018,7,23,Monday
0,4,13,17,2017,10,23,Monday
6,7,6,13,2017,10,12,Thursday
1,2,14,16,2018,2,13,Tuesday
6,13,11,24,2017,6,13,Tuesday
0,17,2,19,2018,3,23,Friday
1,6,14,20,2017,7,6,Thursday
1,14,14,28,2018,1,23,Tuesday
13,35,-5,30,2017,10,28,Saturday
0,7,8,15,2018,8,21,Tuesday
6,36,-9,27,2018,1,25,Thursday
1,2,10,12,2017,10,18,Wednseday
1,7,21,28,2017,11,2,Thursday
2,11,15,26,2018,5,12,Saturday
1,3,15,18,2017,7,24,Monday
3,22,4,26,2018,5,13,Sunday
6,8,6,14,2017,11,24,Friday
7,23,12,35,2018,8,6,Monday
2,19,12,31,2018,1,21,Sunday
1,27,0,27,2018,5,8,Tuesday
4,12,22,34,2017,12,1,Friday
1,8,14,22,2017,9,26,Tuesday
0,12,16,28,2018,6,13,Wednseday
7,13,12,25,2017,11,9,Thursday
3,5,25,30,2017,5,28,Sunday
1,17,17,34,2017,12,5,Tuesday
1,4,2,6,2018,8,9,Thursday
1,6,14,20,2018,6,28,Thursday
3,6,19,25,2017,6,2,Friday
6,12,9,21,2017,9,6,Wednseday
1,6,10,16,2017,5,9,Tuesday
3,10,16,26,2017,6,11,Sunday
1,20,13,33,2018,3,21,Wednseday
3,8,21,29,2017,5,7,Sunday
4,18,9,27,2018,2,10,Saturday
11,24,-3,21,2017,11,24,Friday
4,19,-1,18,2017,9,16,Saturday
7,22,17,39,2017,12,8,Friday
4,10,4,14,2018,8,3,Friday
0,6,20,26,2018,5,2,Wednseday
4,13,5,18,2017,10,13,Friday
3,9,15,24,2017,10,21,Saturday
5,44,-17,27,2018,2,28,Wednseday
2,26,3,29,2018,2,25,Sunday
8,16,18,34,2017,12,20,Wednseday
1,7,14,21,2017,10,17,Tuesday
1,8,24,32,2017,3,9,Thursday
1,14,14,28,2017,6,15,Thursday
1,8,33,41,2017,1,17,Tuesday
3,6,24,30,2018,7,14,Saturday
12,20,5,25,2017,3,10,Friday
1,14,36,50,2017,1,25,Wednseday
4,7,18,25,2017,3,3,Friday
3,11,20,31,2017,9,15,Friday
1,16,8,24,2018,4,23,Monday
0,3,4,7,2018,7,31,Tuesday
2,6,16,22,2018,5,1,Tuesday
4,19,15,34,2017,12,2,Saturday
2,10,8,18,2018,2,19,Monday
2,6,18,24,2017,3,25,Saturday
11,21,8,29,2017,4,24,Monday
4,16,5,21,2017,9,1,Friday
1,2,18,20,2017,12,26,Tuesday
3,9,15,24,2018,1,16,Tuesday
1,2,9,11,2017,5,8,Monday
1,13,16,29,2017,8,15,Tuesday
1,7,19,26,2017,12,27,Wednseday
1,4,46,50,2018,6,5,Tuesday
0,2,5,7,2018,8,14,Tuesday
1,18,4,22,2017,6,27,Tuesday
5,20,16,36,2017,12,21,Thursday
1,22,0,22,2018,4,22,Sunday
1,22,6,28,2018,3,13,Tuesday
2,15,13,28,2017,10,30,Monday
3,12,14,26,2017,11,4,Saturday
2,4,20,24,2018,2,18,Sunday
0,31,-9,22,2017,7,10,Monday
1,9,32,41,2017,2,22,Wednseday
4,18,15,33,2017,8,10,Thursday
9,15,2,17,2017,11,20,Monday
1,7,9,16,2017,11,22,Wednseday
1,2,10,12,2017,5,21,Sunday
1,22,-1,21,2018,2,26,Monday
1,11,9,20,2018,5,15,Tuesday
4,15,17,32,2017,10,12,Thursday
2,15,19,34,2018,1,16,Tuesday
4,23,-3,20,2017,5,11,Thursday
4,14,0,14,2018,7,16,Monday
1,17,18,35,2017,5,4,Thursday
1,6,16,22,2018,4,12,Thursday
1,8,21,29,2018,7,25,Wednseday
1,6,22,28,2017,9,12,Tuesday
1,9,7,16,2017,10,16,Monday
6,9,4,13,2017,9,20,Wednseday
1,6,22,28,2018,1,4,Thursday
3,29,-12,17,2018,3,11,Sunday
2,10,12,22,2018,4,1,Sunday
2,14,15,29,2018,3,21,Wednseday
2,7,16,23,2018,1,22,Monday
2,8,14,22,2017,8,8,Tuesday
2,5,18,23,2018,5,13,Sunday
1,9,12,21,2018,2,19,Monday
5,12,10,22,2017,7,12,Wednseday
1,6,21,27,2018,1,2,Tuesday
4,5,11,16,2018,6,25,Monday
1,4,17,21,2017,5,11,Thursday
5,10,12,22,2018,1,31,Wednseday
0,2,6,8,2018,7,19,Thursday
36,48,-6,42,2017,12,21,Thursday
2,25,13,38,2017,2,12,Sunday
3,4,15,19,2017,12,8,Friday
1,11,21,32,2017,10,12,Thursday
3,4,13,17,2017,10,21,Saturday
3,34,-7,27,2018,3,7,Wednseday
8,14,9,23,2018,5,7,Monday
0,7,17,24,2017,4,10,Monday
3,13,17,30,2018,2,14,Wednseday
4,16,-2,14,2017,11,24,Friday
3,28,5,33,2017,11,25,Saturday
2,14,15,29,2018,2,14,Wednseday
1,2,20,22,2018,6,20,Wednseday
0,5,9,14,2018,7,27,Friday
4,6,19,25,2018,4,12,Thursday
1,7,6,13,2018,8,21,Tuesday
3,33,0,33,2017,11,24,Friday
5,8,12,20,2017,11,23,Thursday
5,10,11,21,2018,1,19,Friday
2,9,23,32,2018,4,21,Saturday
0,2,1,3,2018,7,31,Tuesday
4,48,-20,28,2018,3,23,Friday
4,19,6,25,2017,2,12,Sunday
3,16,8,24,2017,8,7,Monday
5,15,3,18,2017,11,19,Sunday
2,8,15,23,2018,4,1,Sunday
3,11,5,16,2018,8,4,Saturday
0,9,21,30,2018,2,7,Wednseday
3,10,15,25,2018,2,24,Saturday
1,9,28,37,2017,10,8,Sunday
2,24,-8,16,2018,5,16,Wednseday
4,11,6,17,2018,8,3,Friday
18,54,-30,24,2017,11,24,Friday
1,4,4,8,2018,5,17,Thursday
2,11,14,25,2018,3,17,Saturday
3,4,13,17,2018,4,7,Saturday
0,9,9,18,2018,1,4,Thursday
1,17,11,28,2017,11,28,Tuesday
0,3,7,10,2018,4,20,Friday
1,21,11,32,2017,9,28,Thursday
7,23,10,33,2017,12,13,Wednseday
1,4,14,18,2018,7,26,Thursday
4,18,6,24,2017,7,14,Friday
1,9,20,29,2018,7,3,Tuesday
4,31,-5,26,2018,1,19,Friday
5,9,7,16,2018,7,21,Saturday
2,7,11,18,2018,5,14,Monday
3,7,10,17,2018,4,2,Monday
0,6,22,28,2018,6,7,Thursday
23,35,-7,28,2017,7,24,Monday
1,7,13,20,2018,2,14,Wednseday
1,9,15,24,2018,5,8,Tuesday
2,14,8,22,2018,3,6,Tuesday
1,18,11,29,2017,6,22,Thursday
0,7,3,10,2018,8,13,Monday
1,26,3,29,2017,5,22,Monday
7,14,27,41,2017,3,30,Thursday
0,9,23,32,2018,7,30,Monday
1,15,5,20,2018,4,3,Tuesday
3,10,7,17,2018,8,14,Tuesday
19,34,-7,27,2017,6,7,Wednseday
4,36,-5,31,2018,1,21,Sunday
3,10,21,31,2017,10,7,Saturday
2,7,12,19,2018,7,5,Thursday
1,11,16,27,2017,6,8,Thursday
2,3,12,15,2017,5,22,Monday
2,10,9,19,2018,7,21,Saturday
1,3,16,19,2018,1,17,Wednseday
3,9,8,17,2017,11,27,Monday
3,11,15,26,2018,1,12,Friday
2,16,15,31,2017,4,4,Tuesday
2,15,25,40,2017,12,13,Wednseday
1,2,15,17,2017,11,20,Monday
0,6,15,21,2017,3,1,Wednseday
2,19,4,23,2018,1,10,Wednseday
4,14,15,29,2017,10,12,Thursday
4,5,12,17,2018,1,19,Friday
1,7,12,19,2018,8,10,Friday
5,7,18,25,2018,7,5,Thursday
1,6,15,21,2018,8,16,Thursday
0,5,21,26,2017,12,14,Thursday
0,3,12,15,2018,1,23,Tuesday
3,5,9,14,2018,2,12,Monday
1,6,17,23,2018,1,17,Wednseday
